Year;County;Areal;Population
2017;Akershus;5377;594533
2017;Aust-Agder;9157;115785
2017;Buskerud;14693;277684
2017;Finnmark;48617;75758
2017;Hedmark;27398;195356
2017;Hordaland;15440;516497
2017;Møre og Romsdal;14374;265290
2017;Nordland;36879;241906
2017;Nord-Trøndelag;23679;136399
2017;Oppland;25192;188953
2017;Oslo;454;658390
2017;Rogaland;9376;470175
2017;Sogn og Fjordane;18431;109530
2017;Sør-Trøndelag;19789;313370
2017;Telemark;15298;172494
2017;Troms;26189;164330
2017;Vest-Agder;7277;182701
2017;Vestfold;2166;244967
2017;Østfold;3999;289867